CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/6/2023 3:41:41 PM,Hultine_Populus_23
Hultine_Populus_23,38,1,,3240,3240,-0.973,4.07E-05,0.3748088,0.011023,-79.33,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00845558335726532,0.000667144704344795,0.000124592765719436,0.996815751773636,0.0001,2.82E-05,5.99,2.29,1,2036;3991;5943;7899;9851;11809;13755;15710;17664;19618;21566;23523;,181;178;176;172;169;167;165;162;160;156;154;151;,4.900575;4.81935;4.7652;4.6569;4.575675;4.521525;4.467375;4.38615;4.332;4.2237;4.16955;4.088325;,5.99;,2.29;,
10/6/2023 3:42:22 PM,Hultine_Populus_23
Hultine_Populus_23,38,1,,3240,3240,-0.973,3.95E-05,0.3639086,0.031251,-74.12,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00820967749818621,0.00173233052625025,0.000353244395632813,0.990479357518517,0.0001,2.82E-05,5.99,2.29,1,2050;4004;5957;7921;9861;11823;13768;15720;17678;19625;21580;23532;,95;93;92;92;89;88;87;85;84;82;81;80;,2.572125;2.517975;2.4909;2.4909;2.409675;2.3826;2.355525;2.301375;2.2743;2.22015;2.193075;2.166;,5.99;,2.29;,
10/6/2023 3:42:27 PM,Hultine_Populus_23
Hultine_Populus_23,38,1,,3240,3240,-0.973,3.95E-05,0.3639086,0.031251,-74.12,bad,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00820967749818621,0.00173233052625025,0.000353244395632813,0.990479357518517,0.0001,2.82E-05,5.99,2.29,1,2050;4004;5957;7921;9861;11823;13768;15720;17678;19625;21580;23532;,95;93;92;92;89;88;87;85;84;82;81;80;,2.572125;2.517975;2.4909;2.4909;2.409675;2.3826;2.355525;2.301375;2.2743;2.22015;2.193075;2.166;,5.99;,2.29;,
10/6/2023 3:42:58 PM,Hultine_Populus_23
Hultine_Populus_23,38,1,,3240,3240,-0.973,4.01E-05,0.3692984,0.053437,-76.7,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00833127027328541,0.00130288238695294,0.000604019107487569,0.984306461548478,0.0001,2.82E-05,5.99,2.29,1,2043;3997;5950;7903;9855;11811;13774;15716;17671;19620;21573;23542;,186;184;181;178;174;172;170;163;164;162;159;157;,5.03595;4.9818;4.900575;4.81935;4.71105;4.6569;4.60275;4.413225;4.4403;4.38615;4.304925;4.250775;,5.99;,2.29;,
10/6/2023 3:45:21 PM,Hultine_Populus_23
Hultine_Populus_23,38,1,,3640,3640,-1.228,3.73E-05,0.34423,0.028035,-64.7,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0926,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00980156073379694,0.00380143126276646,0.000399965841058873,0.99242666187732,0.0001,2.82E-05,5.99,2.29,1,2047;4009;5965;7907;9856;11811;13774;15730;17687;19624;21587;23531;,132;130;128;125;123;121;118;117;114;110;110;108;,3.5739;3.51975;3.4656;3.384375;3.330225;3.276075;3.19485;3.167775;3.08655;2.97825;2.97825;2.9241;,5.99;,2.29;,
10/6/2023 3:46:04 PM,Hultine_Populus_23
